Model,MSE,MAE,R2
LinearRegression,1.6394087599462732,0.9478254216539718,0.03298020003493185
Lasso,1.6956697696240097,0.9576590126801537,-0.00020585560513963763
Ridge,1.639897873547691,0.9499559076961374,0.032691692038293696
SGDRegressor,1.683608516947057,0.9548623842614335,0.006908581279641557
SVR,1.6725816883273406,0.9274064745972754,0.013412853958065352
DecisionTreeRegressor,2.918725516866159,1.2614254624591947,-0.7216361376313196
RandomForestRegressor,1.9661279332834602,1.0456173830250273,-0.15973800262712623
